id,target
00000e74ad,1
0000a38978,1
0000bb9f3e,1
0000d61b7b,1
0001016d12,1
00010beb4a,1
0001388506,1
00014b7a9d,1
00017d3cf3,1
0001808ecc,1
0001c76f56,1
00026119ef,1
000270b7cc,1
000288e4a5,1
0002b64784,1
0002cc5125,1
0002d0e9a5,1
00031da6a7,1
000367454d,1
000376cd4c,1
0003920ef5,1
0003b77c3e,1
0003c0dea5,1
0003fc4eb4,1
00046aeb49,1
0004836462,1
0004a85055,1
00054902ca,1
00054fb5ed,1
00054fd779,1
0005c1c3fd,1
0006166539,1
0006684722,1
000727a039,1
00076d377c,1
0007bc2873,1
0008258672,1
0008983698,1
00089e1821,1
00090c52ce,1
0009b55d87,1
0009cf257a,1
0009d40573,1
0009d4cdeb,1
0009e8c71e,1
000a1f352b,1
000a218fdd,1
000a32736f,1
000a5527d6,1
000a5b6e5c,1
000a5b744e,1
000aa31ba5,1
000ab7f146,1
000b9f270d,1
000bbeb157,1
000bcf8bf9,1
000bf33edd,1
000bf685d6,1
000c3f2d3e,1
000c41d34a,1
000c5a3b83,1
000c6477c2,1
000c67c73a,1
000e2302f0,1
000e259eb1,1
000e2e4fa6,1
000e4a26c6,1
000ef07f12,1
000f16d34d,1
000f1976b6,1
000f3732de,1
000f844d01,1
000f8f0e9b,1
000fb5d0bf,1
000fd2a682,1
0010838bae,1
0010e0d62a,1
00111f9a51,1
001171484c,1
00118eda78,1
00123a4be6,1
00124889d7,1
0012b54664,1
0014080c8a,1
00143d51a7,1
00146af6e0,1
0014724021,1
0014b3dccf,1
0015c81349,1
00161459f4,1
00161cdd2b,1
0016ad80c7,1
0016b5cd4c,1
0016ceef8e,1
0016d5221a,1
00172aaca5,1
00176fd5ad,1
0017870e6a,1
0017a35bf4,1
0017da893b,1
0017e315e9,1
0017ee018a,1
00180d4da6,1
00180e4450,1
00189cbf16,1
0018a84716,1
0018f1904d,1
0018f964f9,1
00193888c1,1
001946aee4,1
001981cbe4,1
001a3b3f2c,1
001a6257b4,1
001ab15fa9,1
001af85a51,1
001b4b3a25,1
001b5f2f43,1
001bb690eb,1
001be5e60b,1
001c14eb0f,1
001c640ebe,1
001c67a7c5,1
001d06f708,1
001d4487ee,1
001d593c4a,1
001df83cd8,1
001e9bede5,1
001eeb1561,1
001f086f07,1
001fe833a5,1
001fe86f77,1
0020149664,1
00203855ee,1
002040976b,1
0020623382,1
0020b7510d,1
0020cf7fac,1
0021095cf1,1
0021476da9,1
0021837fbf,1
00221211f5,1
0022619d00,1
002262bc50,1
00227bc2f2,1
0022b52298,1
0022cc8fe4,1
0022d18ca3,1
0022e6932f,1
0022ee474c,1
0022f2414f,1
0023351af1,1
00236f6a79,1
0023e45ee3,1
0024f625a4,1
002518468f,1
0025e69772,1
0025f5c202,1
00260563d4,1
00261c1b0f,1
0026281de5,1
00263937d0,1
00264cb8f4,1
0026690226,1
0026b6f099,1
00271559e6,1
002756d256,1
0027b587aa,1
0027d079e0,1
0028260e77,1
0028431a50,1
0028ae7318,1
002913b7a9,1
0029277914,1
002a53257b,1
002aa0f5f9,1
002ab9fa76,1
002b356fc3,1
002b5e1f58,1
002ba0074e,1
002ba1a10d,1
002be14774,1
002c259124,1
002c319f7a,1
002c3d871b,1
002c3f5e70,1
002c474e05,1
002c7ea4b6,1
002ccebe2b,1
002d4f63c9,1
002db92308,1
002dc64287,1
002e45adf3,1
002ec9d1ff,1
002efe2421,1
002f07dd76,1
002f1e98cd,1
002f5e453a,1
002f73c8ba,1
002fa5c237,1
002faafb23,1
00303f4a34,1
0030770a30,1
003078c258,1
0030c3b01b,1
003107fbcd,1
00313d932b,1
0031662ebb,1
00319111e2,1
003198cbde,1
0031b2739d,1
0031bdca49,1
0031e7e00a,1
0031fe0223,1
0032432bc6,1
00324eff8f,1
00326150ff,1
0032654bcc,1
0032f12ab1,1
0033211a3d,1
00334115f5,1
00334cedd6,1
00339e3047,1
0033d4a76e,1
003426abc4,1
00342f7db4,1
00344dc3a4,1
0034680a06,1
0034fb9c91,1
0035620c2d,1
0035bab428,1
0035d4e399,1
003605c98f,1
00361565ba,1
0036905958,1
0036fdea42,1
00378a4a30,1
0037a014a7,1
0037d03f4d,1
0037d3856d,1
003826113f,1
00387dea40,1
0038d163a2,1
00391d4a35,1
003940c4f7,1
00394bc317,1
00396e17bb,1
00398f50bc,1
00399be308,1
0039d8499f,1
003a40fe6b,1
003b01a259,1
003b0ba41e,1
003b3e3ef4,1
003b5c6f7c,1
003b85429f,1
003bb1fae7,1
003bb8a120,1
003c649df8,1
003ca88629,1
003d559233,1
003dda11d5,1
003e0e4783,1
003e42175c,1
003e6adfe0,1
003e700043,1
003e7ca1cd,1
003e8b8457,1
003ed94a44,1
003ef0d7d8,1
003f151cae,1
003f6e589c,1
003fbd12fc,1
00404c04c6,1
00404f766a,1
00406e8bce,1
0040b1524c,1
004122364d,1
00414ca902,1
004150e229,1
00416e6902,1
004171471a,1
00418f951c,1
004199a55d,1
0041b20fcb,1
00421347f7,1
00423ed6da,1
00427dc64a,1
0042ba6f87,1
0042bf5979,1
0042ec94f8,1
